chunk_id,document_id,document_title,chunk_index,chunk_text
29d486fc-8354-498d-84fe-ca5ab5cdee66,f5b0ff1b-5be6-41b4-b943-c006ce953542,25EVEN.pdf,0,"The Thirty-Ninth AAAI Conference on Artificial Intelligence (AAAI-25)
# **Seeing Beyond Noise: Joint Graph Structure Evaluation and Denoising** **for Multimodal Recommendation**
## Yuxin Qi [1,2*], Quan Zhang [3*], Xi Lin [1,2†], Xiu Su [4], Jiani Zhu [1,2], Jingyu Wang [5], Jianhua Li [1,2]

1 School of Electronic Information and Electrical Engineering, Shanghai Jiao Tong University, Shanghai, Ch"
96d39005-cc66-4320-8f10-287236893284,f5b0ff1b-5be6-41b4-b943-c006ce953542,25EVEN.pdf,1,"ormation and Electrical Engineering, Shanghai Jiao Tong University, Shanghai, China
2 Shanghai Key Laboratory of Integrated Administration Technologies for Information Security, Shanghai, China
3 Tsinghua Shenzhen International Graduate School, Tsinghua University, Shenzhen, China
4 Big Data Institute, Central South University, Changsha, China
5 Faculty of Information Science and Engineering, Ocea"
4c0dd921-5f0f-4bed-891d-e163d1e45c95,f5b0ff1b-5be6-41b4-b943-c006ce953542,25EVEN.pdf,2,"iversity, Changsha, China
5 Faculty of Information Science and Engineering, Ocean University of China, Qingdao, China
*{* qiyuxin98, linxi234, 3951230458, lijh888 *}* @sjtu.edu.cn, zhangqua22@mails.tsinghua.edu.cn, xiusu1994@csu.edu.cn,
wangjingyu3186@stu.ouc.edu.cn


**Abstract**

Multimodal Recommendation Systems (MRSs) boost traditional user-item interaction-based methods by incorporating
multi"
81faa9bc-4eb3-430a-aba5-2703573306ac,f5b0ff1b-5be6-41b4-b943-c006ce953542,25EVEN.pdf,3,"Ss) boost traditional user-item interaction-based methods by incorporating
multimodal information. However, existing methods ignore
the inherent noise brought by (1) noisy semantic priors in
multimodal content, and (2) noisy user interactions in history
records, therefore diminishing model performance. To fill
this gap, we propose to denoise MRSs by jointly EVa luating
structure Ef fectiveness and"
0d6ee11d-2153-474c-bbc2-252ef7ec5ade,f5b0ff1b-5be6-41b4-b943-c006ce953542,25EVEN.pdf,4,", we propose to denoise MRSs by jointly EVa luating
structure Ef fectiveness and mitigating No isy links (EVEN).
Firstly, for semantic prior noise in multimodal content, EVEN
builds item homogeneous consistency and denoises it by evaluating behavior-driven confidence. Secondly, for noise in user
interactions, EVEN updates user feedback by denoising observed interactions following implicit contribu"
ad8b6221-8a91-4a3c-b55a-0eb1a646eb7c,f5b0ff1b-5be6-41b4-b943-c006ce953542,25EVEN.pdf,5,"tes user feedback by denoising observed interactions following implicit contribution evaluation
of high-order representations. Thirdly, EVEN performs crossmodal alignment through self-guided structure learning, reinforcing task-specific inter-modal dependency modeling and
cross-modal fusion. Through extensive experiments on three
widely-used datasets, EVEN achieves an average improvement of 8.95% "
a21dc808-3a1d-4f0a-9b7b-045269973e0b,f5b0ff1b-5be6-41b4-b943-c006ce953542,25EVEN.pdf,6,"ts on three
widely-used datasets, EVEN achieves an average improvement of 8.95% and 5.90% in recommendation accuracy compared with LGMRec and FREEDOM, respectively, without
extending the total training time.
## **Introduction**

Multimodal recommendation systems (MRSs) enhance traditional recommendation methods, which primarily depend
on historical user-item interactions, by incorporating multimod"
2c509bb5-4a32-4458-b964-0753e05cdd76,f5b0ff1b-5be6-41b4-b943-c006ce953542,25EVEN.pdf,7,"primarily depend
on historical user-item interactions, by incorporating multimodal content such as item images and textual descriptions
(He and McAuley 2016; Wei et al. 2019, 2020; Wang et al.
2021a; Zhang et al. 2021; Zhou et al. 2023b; Zhou and Shen
2023; Wei et al. 2023a; Yu et al. 2023; Zhou et al. 2023a).
MRSs provide richer content, enabling the capture of finegrained modality-level user pre"
877fdabe-c11a-4b9e-8cce-ab5093945ae0,f5b0ff1b-5be6-41b4-b943-c006ce953542,25EVEN.pdf,8,"vide richer content, enabling the capture of finegrained modality-level user preference. This enhances the
performance of recommendations and improves user experience (Deldjoo, Schedl, and Knees 2024). For example, items
with similar visual styles can be recommended based on visual preferences, or specific types of reading materials can
be suggested based on textual preferences.

  - These authors"
aef210c6-72f2-4d88-bb19-f1a4df623e3e,f5b0ff1b-5be6-41b4-b943-c006ce953542,25EVEN.pdf,9,"ding materials can
be suggested based on textual preferences.

  - These authors contributed equally.

  - Corresponding author.
Copyright © 2025, Association for the Advancement of Artificial
Intelligence (www.aaai.org). All rights reserved.


Figure 1: Noise presents challenges for multimodal recommendation systems. (a) Semantic noise introduced by using multimodal features as priors. For exampl"
bb0fc557-a126-4226-9fbf-10b8cadc69ef,f5b0ff1b-5be6-41b4-b943-c006ce953542,25EVEN.pdf,10,"(a) Semantic noise introduced by using multimodal features as priors. For example, an adult
woman searching for light-colored dresses might mistakenly
get children’s white dress recommendations because she
browsed white dresses before. (b) Interaction Noise in useritem historical records. Users’ historical data might contain
irrelevant preferences due to mis-operations, exploratory behaviors, or a"
28b77ba6-6a27-4d28-9e73-0542d7e832a6,f5b0ff1b-5be6-41b4-b943-c006ce953542,25EVEN.pdf,11,"ontain
irrelevant preferences due to mis-operations, exploratory behaviors, or account sharing.

Existing MRSs explore how to effectively integrate multimodal content to enrich recommendations. Conventional
methods construct user and item representations by linear fusion the modal feature and ID embedding (He and
McAuley 2016; Liu, Wu, and Wang 2017) or adopt the
attention mechanism (Chen et al. 2"
88ade888-a02c-429b-82c0-e451517ee8f9,f5b0ff1b-5be6-41b4-b943-c006ce953542,25EVEN.pdf,12,"ey 2016; Liu, Wu, and Wang 2017) or adopt the
attention mechanism (Chen et al. 2019; Liu et al. 2019).
However, the performance is limited because of the constrained information of low-order interactions. To capture
high-order connectivity and enhance the recommendation,
Graph Neural Network (GNN)-based collaborative filtering
frameworks are proposed to incorporate multimodal content
in user inter"
3d909198-3f39-404d-8d58-ee006f118f0c,f5b0ff1b-5be6-41b4-b943-c006ce953542,25EVEN.pdf,13,"iltering
frameworks are proposed to incorporate multimodal content
in user interest modeling (Wei et al. 2019, 2020; Wang et al.
2021a; Tao et al. 2022; Wei et al. 2023b) or inject multimodal semantic priors into the message-passing mechanism
(Zhang et al. 2021; Zhou and Shen 2023; Yu et al. 2023).

However, MRSs are sensitive to inherent noise, which
misleads the user preference capture and decre"
